TERM,COURSE,ENRL,MEDIAN
16F,WRIT-005-02,15,A-
16F,WRIT-005-03,16,A
16F,WRIT-005-04,16,A-
16F,WRIT-005-05,15,B+
16F,WRIT-005-06,16,A-
16F,WRIT-005-07,15,A-
16F,WRIT-005-08,16,A
16F,WRIT-005-09,16,A
16F,WRIT-005-10,16,A-/B+
16F,WRIT-005-11,16,A
16F,WRIT-005-12,16,A-
16F,WRIT-005-13,16,A-
16F,WRIT-005-14,16,A
16F,WRIT-005-15,16,A
16F,WRIT-005-16,15,A-
16F,WRIT-005-18,16,B+
16F,WRIT-005-19,16,A-
16F,WRIT-005-20,16,A-
16F,WRIT-005-21,16,A-
16F,WRIT-005-22,14,A-
16F,WRIT-005-23,16,A-
16F,WRIT-005-24,16,A-
16F,WRIT-005-25,16,A-
16F,WRIT-005-26,16,A-
16F,WRIT-005-27,16,A-
16F,WRIT-005-28,16,A-
16F,WRIT-005-29,16,B+/B
16F,WRIT-005-30,16,A /A-
16F,WRIT-005-31,16,A
16F,WRIT-005-32,15,A-
